generation,time,best cost,population,mutation,tournament
0,0,1868,5,1,5
1,0.02,1857,5,1,5
3,0.06,1854,5,1,5
4,0.08,1853.5,5,1,5
8,0.16,1851.5,5,1,5
21,0.42,1850.5,5,1,5
26,0.52,1849.5,5,1,5
31,0.62,1848.5,5,1,5
51,1.03,1847.5,5,1,5
56,1.13,1847,5,1,5
71,1.43,1846.5,5,1,5
142,2.86,1840.5,5,1,5
157,3.19,1840,5,1,5
227,4.7,1839.5,5,1,5
240,4.94,1838.5,5,1,5
242,4.98,1838,5,1,5
243,5,1837.5,5,1,5
244,5.02,1836.5,5,1,5
247,5.08,1834.5,5,1,5
259,5.31,1834,5,1,5
269,5.5,1833,5,1,5
284,5.78,1832.5,5,1,5
304,6.15,1831.5,5,1,5
324,6.54,1830.5,5,1,5
327,6.6,1829,5,1,5
354,7.13,1821,5,1,5
496,9.85,1819.5,5,1,5
793,15.65,1819,5,1,5
