generation,time,best cost,population,mutation,tournament,,,Min,1801,,Baseline 
1298,25.9902904,1812.5,6,1,5,,,Average,1812.266667,,
697,13.99964118,1807,6,1,5,,,,,,
1367,26.48964739,1808,6,1,5,,,,,,
1425,28.38093805,1816.5,6,1,5,,,,,,
1654,29.61120677,1801,6,1,5,,,,,,
1468,28.74338317,1818,6,1,5,,,,,,
962,18.75334811,1813.5,6,1,5,,,,,,
1508,29.52197552,1802,6,1,5,,,,,,
1253,23.66105056,1804,6,1,5,,,,,,
1025,19.99744034,1805,6,1,5,,,,,,
1010,24.59964585,1823,6,1,5,,,,,,
267,5.387696505,1829,6,1,5,,,,,,
731,16.10186839,1805.5,6,1,5,,,,,,
1217,27.87817955,1812.5,6,1,5,,,,,,
94,2.103601694,1824.5,6,1,5,,,,,,
882,18.68931508,1807,6,1,5,,,,,,
1149,23.16505861,1814,6,1,5,,,,,,
1406,27.9639802,1803.5,6,1,5,,,,,,
790,16.85422421,1817,6,1,5,,,,,,
1384,24.82354927,1805,6,1,5,,,,,,
1166,24.69384599,1803,6,1,5,,,,,,
928,17.84985662,1808.5,6,1,5,,,,,,
29,0.565508604,1821,6,1,5,,,,,,
796,15.51663995,1817,6,1,5,,,,,,
1133,25.49567103,1807,6,1,5,,,,,,
1529,29.34849524,1811,6,1,5,,,,,,
1406,27.7375896,1814,6,1,5,,,,,,
784,15.63861465,1820.5,6,1,5,,,,,,
1256,26.65636277,1813,6,1,5,,,,,,
1430,29.26990271,1824.5,6,1,5,,,,,,
Baseline + novel's initialisation,,,,,,,,,,,
generation,time,best cost,population,mutation,tournament,,,Min,1784.5,,
1996,27.89782023,1792.5,5,1,5,,,Average,1799.875,,
168,4.721155882,1797.5,5,1,5,,,,,,
700,28.83946204,1805.5,5,1,5,,,,,,
1369,23.25060248,1805,5,1,5,,,,,,
84,2.208233595,1792,5,1,5,,,,,,
111,3.499840021,1801.5,5,1,5,,,,,,
742,12.11363721,1805,5,1,5,,,,,,
843,25.51961708,1787,5,1,5,,,,,,
430,8.849098921,1795.5,5,1,5,,,,,,
526,16.37387896,1791.5,5,1,5,,,,,,
66,1.751196861,1795.5,5,1,5,,,,,,
726,17.68181396,1796.5,5,1,5,,,,,,
247,7.128811121,1796.5,5,1,5,,,,,,
