generation,time,best cost,average cost,population,mutation,crossover,tournament,unique,,,1785.7375,,
546,28.53376746,1784,1785,5,1,1,2,1,,,,,
359,21.17094755,1796.5,1797.5,5,1,1,2,1,,,,,
389,21.1443429,1788.5,1790,5,1,1,2,1,,,,,
444,23.43172431,1786,1788,5,1,1,2,1,,,,,
521,26.08625269,1789,1789.5,5,1,1,2,1,,,,,
532,25.58129478,1781.5,1782,5,1,1,2,1,,,,,
409,21.85182118,1778.5,1781.5,5,1,1,2,1,,,,,
458,24.9193809,1787,1787.5,5,1,1,2,1,,,,,
342,16.67902827,1783,1786,5,1,1,2,1,,,,,
562,27.21654868,1785,1785.5,5,1,1,2,1,,,,,
241,14.17182565,1783,1785,5,1,1,2,1,,,,,
486,25.33968401,1789,1790,5,1,1,2,1,,,,,
469,24.57643366,1785,1786,5,1,1,2,1,,,,,
601,29.96158028,1782.5,1783,5,1,1,2,1,,,,,
443,19.64010835,1791.5,1792,5,1,1,2,1,,,,,
216,10.50888371,1785,1785.5,5,1,1,2,1,,,,,
529,27.20749664,1787,1787.5,5,1,1,2,1,,,,,
507,26.15204263,1786.5,1787,5,1,1,2,1,,,,,
618,29.89054132,1780.5,1781,5,1,1,2,1,,,,,
582,28.69259167,1785,1787.5,5,1,1,2,1,,,,,
480,25.92216301,1783.5,1785,5,1,1,2,1,,,,,
382,21.40343833,1785.5,1795.9,5,1,1,2,1,,,,,
576,29.7621069,1784,1785,5,1,1,2,1,,,,,
621,29.25213432,1787.5,1788,5,1,1,2,1,,,,,
503,24.22990584,1783.5,1784,5,1,1,2,1,,,,,
452,21.91229463,1785.5,1786,5,1,1,2,1,,,,,
575,27.89208531,1788,1789,5,1,1,2,1,,,,,
575,27.28673124,1786.5,1787,5,1,1,2,1,,,,,
509,27.93680835,1790,1791,5,1,1,2,1,,,,,
475,27.24136877,1787,1789,5,1,1,2,1,,,,,
385,18.37966418,1785.5,1786.5,5,1,1,2,1,,,,,
359,25.88413978,1791.5,1792.5,5,1,1,2,1,,,,,
339,16.14634633,1785,1785.5,5,1,1,2,1,,,,,
418,22.85132885,1785,1787.5,5,1,1,2,1,,,,,
